mirna_accession,mirna_name,chr,start,end,strand
MIMAT0041617,hsa-miR-10393-5p,15,45010042,45010066,+
MIMAT0041618,hsa-miR-10393-3p,15,45010070,45010091,+
MIMAT0004928,hsa-miR-147b-3p,15,45725296,45725316,+
MIMAT0037331,hsa-miR-147b-5p,15,45725259,45725280,+
MIMAT0019826,hsa-miR-4716-5p,15,49461318,49461339,-
MIMAT0019827,hsa-miR-4716-3p,15,49461276,49461297,-
MIMAT0019818,hsa-miR-4712-5p,15,50652534,50652555,+
MIMAT0019819,hsa-miR-4712-3p,15,50652582,50652602,+
MIMAT0019820,hsa-miR-4713-5p,15,51534397,51534418,+
MIMAT0019821,hsa-miR-4713-3p,15,51534430,51534451,+
MIMAT0031176,hsa-miR-7973,15,51606285,51606304,-
MIMAT0031176,hsa-miR-7973,15,51606231,51606250,+
MIMAT0005920,hsa-miR-1266-5p,15,52569363,52569385,-
MIMAT0026742,hsa-miR-1266-3p,15,52569328,52569349,-
MIMAT0004809,hsa-miR-628-5p,15,55665189,55665210,-
MIMAT0003297,hsa-miR-628-3p,15,55665152,55665172,-
MIMAT0011160,hsa-miR-2116-5p,15,59463428,59463448,-
MIMAT0011161,hsa-miR-2116-3p,15,59463391,59463411,-
MIMAT0030994,hsa-miR-8067,15,62596902,62596923,-
MIMAT0023710,hsa-miR-6085,15,62635310,62635328,+
MIMAT0000458,hsa-miR-190a-5p,15,63116170,63116191,+
MIMAT0026482,hsa-miR-190a-3p,15,63116207,63116227,+
MIMAT0001339,hsa-miR-422a,15,64163188,64163209,-
MIMAT0005925,hsa-miR-1272,15,65054670,65054695,-
MIMAT0019048,hsa-miR-4511,15,66011635,66011656,-
MIMAT0016863,hsa-miR-4311,15,66332581,66332598,+
MIMAT0019049,hsa-miR-4512,15,66789303,66789324,-
MIMAT0016864,hsa-miR-4312,15,69094199,69094217,-
MIMAT0004810,hsa-miR-629-5p,15,70371766,70371786,-
MIMAT0003298,hsa-miR-629-3p,15,70371726,70371747,-
MIMAT0003299,hsa-miR-630,15,72879618,72879639,+
MIMAT0049031,hsa-miR-12135,15,73592303,73592320,+
MIMAT0027662,hsa-miR-6881-5p,15,74703747,74703768,-
MIMAT0027663,hsa-miR-6881-3p,15,74703702,74703723,-
MIMAT0019050,hsa-miR-4513,15,75081064,75081085,-
MIMAT0027664,hsa-miR-6882-5p,15,75133022,75133043,-
MIMAT0027665,hsa-miR-6882-3p,15,75132983,75133006,-
MIMAT0003300,hsa-miR-631,15,75645991,75646011,-
MIMAT0016865,hsa-miR-4313,15,76054627,76054646,-
MIMAT0000454,hsa-miR-184,15,79502182,79502203,+
MIMAT0022260,hsa-miR-5572,15,80873520,80873540,+
MIMAT0003333,hsa-miR-549a-3p,15,81134334,81134354,-
MIMAT0037328,hsa-miR-549a-5p,15,81134366,81134387,-
MIMAT0019051,hsa-miR-4514,15,81289791,81289808,-
MIMAT0019052,hsa-miR-4515,15,83736101,83736122,+
MIMAT0030021,hsa-miR-7706,15,85923870,85923893,+
MIMAT0005930,hsa-miR-1276,15,86313779,86313798,-
MIMAT0021037,hsa-miR-548ap-5p,15,86368886,86368904,+
MIMAT0021038,hsa-miR-548ap-3p,15,86368923,86368941,+
MIMAT0043996,hsa-miR-11181-5p,15,88489479,88489499,-
MIMAT0043997,hsa-miR-11181-3p,15,88489442,88489459,-
MIMAT0005824,hsa-miR-1179,15,89151352,89151372,+
MIMAT0000252,hsa-miR-7-5p,15,89155087,89155110,+
MIMAT0004554,hsa-miR-7-2-3p,15,89155127,89155148,+
MIMAT0019828,hsa-miR-3529-5p,15,89155125,89155146,-
MIMAT0022741,hsa-miR-3529-3p,15,89155087,89155110,-
MIMAT0027432,hsa-miR-6766-5p,15,89870013,89870036,-
MIMAT0027433,hsa-miR-6766-3p,15,89869973,89869994,-
MIMAT0000441,hsa-miR-9-5p,15,89911263,89911285,+
MIMAT0000442,hsa-miR-9-3p,15,89911302,89911323,+
MIMAT0021086,hsa-miR-5094,15,90393922,90393943,-
MIMAT0021041,hsa-miR-5009-5p,15,90427219,90427242,-
MIMAT0021042,hsa-miR-5009-3p,15,90427181,90427202,-
MIMAT0015051,hsa-miR-3174,15,90549996,90550018,+
MIMAT0015052,hsa-miR-3175,15,93447638,93447659,+
MIMAT0007347,hsa-miR-1469,15,96876490,96876511,+
MIMAT0019822,hsa-miR-4714-5p,15,99327664,99327685,+
MIMAT0019823,hsa-miR-4714-3p,15,99327702,99327723,+
MIMAT0005890,hsa-miR-1302,15,102500707,102500727,-
MIMAT0027618,hsa-miR-6859-5p,15,102513732,102513754,+
MIMAT0027619,hsa-miR-6859-3p,15,102513772,102513794,+
MIMAT0027618,hsa-miR-6859-5p,16,67092,67114,-
MIMAT0027619,hsa-miR-6859-3p,16,67052,67074,-
MIMAT0022289,hsa-miR-5587-5p,16,585316,585333,+
MIMAT0022290,hsa-miR-5587-3p,16,585348,585368,+
MIMAT0015053,hsa-miR-3176,16,593336,593354,+
MIMAT0003325,hsa-miR-662,16,820243,820263,+
MIMAT0015054,hsa-miR-3177-3p,16,1785039,1785059,+
MIMAT0019215,hsa-miR-3177-5p,16,1784996,1785018,+
MIMAT0005572,hsa-miR-1225-5p,16,2140264,2140285,-
MIMAT0005573,hsa-miR-1225-3p,16,2140196,2140217,-
MIMAT0025847,hsa-miR-6511b-5p,16,2156721,2156744,-
MIMAT0025848,hsa-miR-6511b-3p,16,2156680,2156702,-
MIMAT0019053,hsa-miR-4516,16,2183121,2183137,+
MIMAT0018178,hsa-miR-3180,16,2186077,2186095,-
MIMAT0018101,hsa-miR-3677-3p,16,2320752,2320773,+
MIMAT0019221,hsa-miR-3677-5p,16,2320716,2320737,+
MIMAT0004983,hsa-miR-940,16,2321807,2321827,+
MIMAT0019829,hsa-miR-4717-5p,16,2324630,2324651,+
MIMAT0019830,hsa-miR-4717-3p,16,2324662,2324682,+
MIMAT0027434,hsa-miR-6767-5p,16,2495398,2495420,+
MIMAT0027435,hsa-miR-6767-3p,16,2495437,2495458,+
MIMAT0027436,hsa-miR-6768-5p,16,2513973,2513995,+
MIMAT0027437,hsa-miR-6768-3p,16,2514012,2514035,+
MIMAT0015055,hsa-miR-3178,16,2581980,2581996,-
MIMAT0024599,hsa-miR-6126,16,3535422,3535439,-
MIMAT0027438,hsa-miR-6769a-5p,16,4721324,4721344,+
MIMAT0027439,hsa-miR-6769a-3p,16,4721371,4721391,+
MIMAT0030992,hsa-miR-8065,16,5682534,5682557,+
MIMAT0005928,hsa-miR-548h-5p,16,11400348,11400369,-
MIMAT0019831,hsa-miR-4718,16,12814178,12814198,+
MIMAT0004767,hsa-miR-193b-5p,16,14397837,14397858,+
MIMAT0002819,hsa-miR-193b-3p,16,14397874,14397895,+
MIMAT0000710,hsa-miR-365a-3p,16,14403197,14403218,+
MIMAT0009199,hsa-miR-365a-5p,16,14403157,14403179,+
MIMAT0015056,hsa-miR-3179,16,14995416,14995437,+
MIMAT0018093,hsa-miR-3670,16,15001613,15001636,+
MIMAT0015057,hsa-miR-3180-5p,16,15005094,15005118,+
MIMAT0015058,hsa-miR-3180-3p,16,15005138,15005159,+
MIMAT0025478,hsa-miR-6511a-5p,16,15019798,15019820,+
MIMAT0025479,hsa-miR-6511a-3p,16,15019837,15019858,+
MIMAT0027440,hsa-miR-6770-5p,16,15024682,15024705,+
MIMAT0027441,hsa-miR-6770-3p,16,15024716,15024736,+
MIMAT0009447,hsa-miR-1972,16,15104186,15104207,-
MIMAT0025847,hsa-miR-6511b-5p,16,15227974,15227997,-
MIMAT0025848,hsa-miR-6511b-3p,16,15227933,15227955,-
MIMAT0018178,hsa-miR-3180,16,15248806,15248824,-
MIMAT0025468,hsa-miR-6506-5p,16,15704929,15704951,-
MIMAT0025469,hsa-miR-6506-3p,16,15704888,15704909,-
MIMAT0002174,hsa-miR-484,16,15737158,15737179,+
MIMAT0015056,hsa-miR-3179,16,16394067,16394088,+
MIMAT0018093,hsa-miR-3670,16,16400266,16400289,+
MIMAT0015057,hsa-miR-3180-5p,16,16403749,16403773,+
MIMAT0015058,hsa-miR-3180-3p,16,16403793,16403814,+
MIMAT0025478,hsa-miR-6511a-5p,16,16418449,16418471,+
MIMAT0025479,hsa-miR-6511a-3p,16,16418488,16418509,+
MIMAT0027440,hsa-miR-6770-5p,16,16423167,16423190,+
MIMAT0027441,hsa-miR-6770-3p,16,16423201,16423221,+
MIMAT0025478,hsa-miR-6511a-5p,16,16462737,16462759,+
MIMAT0025479,hsa-miR-6511a-3p,16,16462776,16462797,+
MIMAT0025478,hsa-miR-6511a-5p,16,18437910,18437932,-
MIMAT0025479,hsa-miR-6511a-3p,16,18437872,18437893,-
MIMAT0027440,hsa-miR-6770-5p,16,18473239,18473262,-
MIMAT0027441,hsa-miR-6770-3p,16,18473208,18473228,-
MIMAT0015057,hsa-miR-3180-5p,16,18496087,18496111,-
MIMAT0015058,hsa-miR-3180-3p,16,18496046,18496067,-
MIMAT0018093,hsa-miR-3670,16,18499557,18499580,-
MIMAT0015056,hsa-miR-3179,16,18505762,18505783,-
MIMAT0018093,hsa-miR-3670,16,15001613,15001636,+
MIMAT0015056,hsa-miR-3179,16,14995416,14995437,+
MIMAT0018106,hsa-miR-3680-5p,16,21517422,21517443,-
MIMAT0018107,hsa-miR-3680-3p,16,21517385,21517407,-
MIMAT0030415,hsa-miR-1273h-5p,16,24214469,24214489,+
MIMAT0030416,hsa-miR-1273h-3p,16,24214507,24214528,+
MIMAT0015060,hsa-miR-548w,16,26036567,26036589,+
MIMAT0027625,hsa-miR-6862-5p,16,28402346,28402367,-
MIMAT0027626,hsa-miR-6862-3p,16,28402305,28402328,-
MIMAT0027625,hsa-miR-6862-5p,16,28735578,28735599,+
MIMAT0027626,hsa-miR-6862-3p,16,28735617,28735640,+
MIMAT0019835,hsa-miR-4721,16,28855248,28855269,-
MIMAT0019054,hsa-miR-4517,16,28969908,28969932,+
MIMAT0018106,hsa-miR-3680-5p,16,29610552,29610573,-
MIMAT0018107,hsa-miR-3680-3p,16,29610515,29610537,-
MIMAT0019055,hsa-miR-4518,16,30515289,30515314,+
MIMAT0019056,hsa-miR-4519,16,30886622,30886639,-
MIMAT0010313,hsa-miR-762,16,30905272,30905293,+
MIMAT0039321,hsa-miR-9901,16,33966068,33966088,+
MIMAT0027442,hsa-miR-6771-5p,16,50326532,50326553,+
MIMAT0027443,hsa-miR-6771-3p,16,50326566,50326586,+
MIMAT0015061,hsa-miR-3181,16,50776224,50776242,+
MIMAT0018350,hsa-miR-3935,16,56279489,56279510,+
MIMAT0000430,hsa-miR-138-5p,16,56892439,56892461,+
MIMAT0004596,hsa-miR-138-2-3p,16,56892486,56892507,+
MIMAT0027627,hsa-miR-6863,16,56938239,56938261,+
MIMAT0027444,hsa-miR-6772-5p,16,57806238,57806259,-
MIMAT0027445,hsa-miR-6772-3p,16,57806202,57806224,-
MIMAT0000752,hsa-miR-328-3p,16,67236230,67236251,-
MIMAT0026486,hsa-miR-328-5p,16,67236270,67236292,-
MIMAT0027446,hsa-miR-6773-5p,16,68267375,68267397,-
MIMAT0027447,hsa-miR-6773-3p,16,68267329,68267350,-
MIMAT0007400,hsa-miR-1538,16,69599711,69599733,-
MIMAT0000431,hsa-miR-140-5p,16,69967006,69967027,+
MIMAT0004597,hsa-miR-140-3p,16,69967045,69967065,+
MIMAT0009447,hsa-miR-1972,16,70064296,70064317,+
MIMAT0019832,hsa-miR-4719,16,76902885,76902906,+
MIMAT0019833,hsa-miR-4720-5p,16,81418626,81418647,+
MIMAT0019834,hsa-miR-4720-3p,16,81418668,81418688,+
MIMAT0030429,hsa-miR-7854-3p,16,81567547,81567567,+
MIMAT0025464,hsa-miR-6504-5p,16,81644957,81644977,+
MIMAT0025465,hsa-miR-6504-3p,16,81644992,81645011,+
MIMAT0030985,hsa-miR-8058,16,82722593,82722614,+
MIMAT0015062,hsa-miR-3182,16,83541954,83541970,+
MIMAT0049022,hsa-miR-12128,16,85241466,85241491,+
MIMAT0021085,hsa-miR-5093,16,85339842,85339864,-
MIMAT0007884,hsa-miR-1910-5p,16,85775275,85775295,-
MIMAT0026917,hsa-miR-1910-3p,16,85775237,85775256,-
MIMAT0027448,hsa-miR-6774-5p,16,85951958,85951982,+
MIMAT0027449,hsa-miR-6774-3p,16,85952002,85952022,+
MIMAT0027450,hsa-miR-6775-5p,16,87868237,87868261,-
MIMAT0027451,hsa-miR-6775-3p,16,87868198,87868218,-
MIMAT0044658,hsa-miR-11401,16,87887512,87887531,+
MIMAT0021120,hsa-miR-5189-5p,16,88535351,88535374,+
MIMAT0027088,hsa-miR-5189-3p,16,88535392,88535412,+
MIMAT0019836,hsa-miR-4722-5p,16,88782723,88782745,-
MIMAT0019837,hsa-miR-4722-3p,16,88782686,88782707,-
MIMAT0015063,hsa-miR-3183,17,925769,925790,-
MIMAT0004495,hsa-miR-22-5p,17,1617246,1617267,-
MIMAT0000077,hsa-miR-22-3p,17,1617208,1617229,-
MIMAT0004594,hsa-miR-132-5p,17,1953259,1953280,-
MIMAT0000426,hsa-miR-132-3p,17,1953223,1953244,-
MIMAT0000269,hsa-miR-212-3p,17,1953584,1953604,-
MIMAT0022695,hsa-miR-212-5p,17,1953622,1953644,-
MIMAT0027452,hsa-miR-6776-5p,17,2596190,2596208,-
MIMAT0027453,hsa-miR-6776-3p,17,2596155,2596177,-
MIMAT0005904,hsa-miR-1253,17,2651433,2651453,-
MIMAT0027628,hsa-miR-6864-5p,17,4873038,4873061,-
MIMAT0027629,hsa-miR-6864-3p,17,4872997,4873017,-
MIMAT0027630,hsa-miR-6865-5p,17,4873418,4873440,-
MIMAT0027631,hsa-miR-6865-3p,17,4873386,4873406,-
MIMAT0019235,hsa-miR-4520-5p,17,6558801,6558820,-
MIMAT0019057,hsa-miR-4520-3p,17,6558766,6558787,-
MIMAT0019235,hsa-miR-4520-5p,17,6558768,6558787,+
MIMAT0020300,hsa-miR-4520-2-3p,17,6558800,6558821,+
MIMAT0000461,hsa-miR-195-5p,17,6920986,6921006,-
MIMAT0004615,hsa-miR-195-3p,17,6920947,6920968,-
MIMAT0002820,hsa-miR-497-5p,17,6921298,6921318,-
MIMAT0004768,hsa-miR-497-3p,17,6921257,6921278,-
MIMAT0000761,hsa-miR-324-5p,17,7126662,7126683,-
MIMAT0000762,hsa-miR-324-3p,17,7126627,7126649,-
MIMAT0016868,hsa-miR-4314,17,7991384,7991401,+
MIMAT0027666,hsa-miR-6883-5p,17,8048363,8048384,-
MIMAT0027667,hsa-miR-6883-3p,17,8048312,8048333,-
MIMAT0019058,hsa-miR-4521,17,8090266,8090287,+
MIMAT0004945,hsa-miR-744-5p,17,11985226,11985247,+
MIMAT0004946,hsa-miR-744-3p,17,11985283,11985304,+
MIMAT0019059,hsa-miR-1269b,17,12820630,12820651,-
MIMAT0005928,hsa-miR-548h-5p,17,13446914,13446935,-
MIMAT0019853,hsa-miR-4731-5p,17,15154983,15155004,-
MIMAT0019854,hsa-miR-4731-3p,17,15154951,15154972,-
MIMAT0005942,hsa-miR-1288-3p,17,16185372,16185392,+
MIMAT0026743,hsa-miR-1288-5p,17,16185342,16185364,+
MIMAT0027454,hsa-miR-6777-5p,17,17716832,17716854,-
MIMAT0027455,hsa-miR-6777-3p,17,17716794,17716813,-
MIMAT0003301,hsa-miR-33b-5p,17,17717211,17717230,-
MIMAT0004811,hsa-miR-33b-3p,17,17717171,17717192,-
MIMAT0027456,hsa-miR-6778-5p,17,18244174,18244195,-
MIMAT0027457,hsa-miR-6778-3p,17,18244128,18244148,-
MIMAT0005825,hsa-miR-1180-3p,17,19247826,19247847,-
MIMAT0026735,hsa-miR-1180-5p,17,19247861,19247881,-
MIMAT0019060,hsa-miR-4522,17,25620948,25620968,-
MIMAT0019838,hsa-miR-4723-5p,17,26687683,26687706,+
MIMAT0019839,hsa-miR-4723-3p,17,26687735,26687756,+
MIMAT0001631,hsa-miR-451a,17,27188421,27188442,-
MIMAT0019840,hsa-miR-451b,17,27188395,27188416,+
MIMAT0004600,hsa-miR-144-5p,17,27188601,27188622,-
MIMAT0000436,hsa-miR-144-3p,17,27188566,27188585,-
MIMAT0019855,hsa-miR-4732-5p,17,27188718,27188740,-
MIMAT0019856,hsa-miR-4732-3p,17,27188686,27188706,-
MIMAT0019061,hsa-miR-4523,17,27717686,27717706,+
MIMAT0004748,hsa-miR-423-5p,17,28444113,28444135,+
MIMAT0001340,hsa-miR-423-3p,17,28444149,28444171,+
MIMAT0015064,hsa-miR-3184-5p,17,28444146,28444169,-
MIMAT0022731,hsa-miR-3184-3p,17,28444113,28444135,-
MIMAT0019857,hsa-miR-4733-5p,17,29421413,29421434,-
MIMAT0019858,hsa-miR-4733-3p,17,29421376,29421397,-
MIMAT0019841,hsa-miR-4724-5p,17,29861911,29861933,+
MIMAT0019842,hsa-miR-4724-3p,17,29861959,29861979,+
MIMAT0004614,hsa-miR-193a-5p,17,29887035,29887056,+
MIMAT0000459,hsa-miR-193a-3p,17,29887069,29887090,+
MIMAT0019843,hsa-miR-4725-5p,17,29902300,29902320,+
MIMAT0019844,hsa-miR-4725-3p,17,29902345,29902366,+
MIMAT0022833,hsa-miR-365b-5p,17,29902458,29902479,+
MIMAT0022834,hsa-miR-365b-3p,17,29902497,29902518,+
MIMAT0003302,hsa-miR-632,17,30677188,30677206,+
MIMAT0013863,hsa-miR-2909,17,35391045,35391065,+
MIMAT0024612,hsa-miR-378j,17,35975046,35975064,-
MIMAT0019859,hsa-miR-4734,17,36858523,36858544,-
MIMAT0019845,hsa-miR-4726-5p,17,36875944,36875966,+
MIMAT0019846,hsa-miR-4726-3p,17,36875980,36876001,+
MIMAT0019847,hsa-miR-4727-5p,17,36982092,36982112,+
MIMAT0019848,hsa-miR-4727-3p,17,36982124,36982145,+
MIMAT0027458,hsa-miR-6779-5p,17,37071237,37071257,+
MIMAT0027459,hsa-miR-6779-3p,17,37071270,37071290,+
MIMAT0039765,hsa-miR-548bc,17,37453710,37453730,+
MIMAT0019849,hsa-miR-4728-5p,17,37882749,37882771,+
MIMAT0019850,hsa-miR-4728-3p,17,37882790,37882814,+
MIMAT0027668,hsa-miR-6884-5p,17,38182636,38182657,-
MIMAT0027669,hsa-miR-6884-3p,17,38182587,38182609,-
MIMAT0027632,hsa-miR-6866-5p,17,38318191,38318213,+
MIMAT0027633,hsa-miR-6866-3p,17,38318233,38318254,+
MIMAT0027634,hsa-miR-6867-5p,17,38349854,38349876,+
MIMAT0027635,hsa-miR-6867-3p,17,38349895,38349915,+
MIMAT0025476,hsa-miR-6510-5p,17,39673446,39673467,-
MIMAT0025477,hsa-miR-6510-3p,17,39673418,39673438,-
MIMAT0022277,hsa-miR-548at-5p,17,40646791,40646812,+
MIMAT0022278,hsa-miR-548at-3p,17,40646828,40646848,+
MIMAT0021043,hsa-miR-5010-5p,17,40666226,40666247,+
MIMAT0021044,hsa-miR-5010-3p,17,40666285,40666306,+
MIMAT0027460,hsa-miR-6780a-5p,17,40860142,40860164,-
MIMAT0027461,hsa-miR-6780a-3p,17,40860102,40860122,-
MIMAT0027462,hsa-miR-6781-5p,17,40975936,40975956,-
MIMAT0027463,hsa-miR-6781-3p,17,40975898,40975919,-
MIMAT0011162,hsa-miR-2117,17,41522224,41522244,+
MIMAT0027464,hsa-miR-6782-5p,17,42285178,42285202,-
MIMAT0027465,hsa-miR-6782-3p,17,42285140,42285162,-
MIMAT0027466,hsa-miR-6783-5p,17,43012023,43012044,-
MIMAT0027467,hsa-miR-6783-3p,17,43011986,43012007,-
MIMAT0027468,hsa-miR-6784-5p,17,43191777,43191796,-
MIMAT0027469,hsa-miR-6784-3p,17,43191735,43191756,-
MIMAT0016866,hsa-miR-4315,17,43552774,43552791,-
MIMAT0021081,hsa-miR-5089-5p,17,45050393,45050413,+
MIMAT0022984,hsa-miR-5089-3p,17,45050435,45050457,+
MIMAT0041128,hsa-miR-10226,17,46110258,46110279,+
MIMAT0000438,hsa-miR-152-3p,17,46114540,46114560,-
MIMAT0026479,hsa-miR-152-5p,17,46114576,46114598,-
MIMAT0005866,hsa-miR-1203,17,46233848,46233868,-
MIMAT0000253,hsa-miR-10a-5p,17,46657266,46657288,-
MIMAT0004555,hsa-miR-10a-3p,17,46657226,46657247,-
MIMAT0000226,hsa-miR-196a-5p,17,46709894,46709915,-
MIMAT0037307,hsa-miR-196a-1-3p,17,46709857,46709877,-
MIMAT0015065,hsa-miR-3185,17,46801808,46801830,-
MIMAT0024613,hsa-miR-6129,17,47365778,47365796,-
MIMAT0024782,hsa-miR-6165,17,47588187,47588205,+
MIMAT0030986,hsa-miR-8059,17,48846021,48846042,+
MIMAT0017992,hsa-miR-3614-5p,17,54968680,54968702,-
MIMAT0017993,hsa-miR-3614-3p,17,54968642,54968664,-
MIMAT0000433,hsa-miR-142-5p,17,56408644,56408664,-
MIMAT0000434,hsa-miR-142-3p,17,56408606,56408628,-
MIMAT0019862,hsa-miR-4736,17,56413365,56413383,-
MIMAT0003884,hsa-miR-454-5p,17,57215189,57215210,-
MIMAT0003885,hsa-miR-454-3p,17,57215148,57215170,-
MIMAT0000688,hsa-miR-301a-3p,17,57228510,57228532,-
MIMAT0022696,hsa-miR-301a-5p,17,57228548,57228569,-
MIMAT0019851,hsa-miR-4729,17,57443453,57443474,+
MIMAT0000076,hsa-miR-21-5p,17,57918634,57918655,+
MIMAT0004494,hsa-miR-21-3p,17,57918672,57918692,+
MIMAT0019863,hsa-miR-4737,17,58120438,58120457,-
MIMAT0003303,hsa-miR-633,17,61021636,61021658,+
MIMAT0019864,hsa-miR-3064-5p,17,62496935,62496955,-
MIMAT0019865,hsa-miR-3064-3p,17,62496893,62496915,-
MIMAT0020541,hsa-miR-5047,17,62497348,62497368,-
MIMAT0023705,hsa-miR-6080,17,62776914,62776932,+
MIMAT0016866,hsa-miR-4315,17,62818193,62818210,-
MIMAT0003304,hsa-miR-634,17,64783250,64783271,+
MIMAT0004812,hsa-miR-548d-5p,17,65467656,65467677,-
MIMAT0003323,hsa-miR-548d-3p,17,65467620,65467641,-
MIMAT0018447,hsa-miR-548aa,17,65467659,65467683,+
MIMAT0003305,hsa-miR-635,17,66420652,66420674,-
MIMAT0022255,hsa-miR-4524b-5p,17,67095711,67095731,+
MIMAT0022256,hsa-miR-4524b-3p,17,67095748,67095767,+
MIMAT0019062,hsa-miR-4524a-5p,17,67095747,67095768,-
MIMAT0019063,hsa-miR-4524a-3p,17,67095711,67095732,-
MIMAT0017994,hsa-miR-3615,17,72744802,72744822,+
MIMAT0018102,hsa-miR-3678-5p,17,73402158,73402177,+
MIMAT0018103,hsa-miR-3678-3p,17,73402218,73402239,+
MIMAT0027470,hsa-miR-6785-5p,17,73494634,73494655,+
MIMAT0027471,hsa-miR-6785-3p,17,73494689,73494709,+
MIMAT0019866,hsa-miR-4738-5p,17,73780648,73780669,-
MIMAT0019867,hsa-miR-4738-3p,17,73780611,73780632,-
MIMAT0027636,hsa-miR-6868-5p,17,74094131,74094152,-
MIMAT0027637,hsa-miR-6868-3p,17,74094100,74094120,-
MIMAT0003306,hsa-miR-636,17,74732548,74732570,-
MIMAT0030417,hsa-miR-6516-5p,17,75085510,75085531,+
MIMAT0030418,hsa-miR-6516-3p,17,75085551,75085572,+
MIMAT0016867,hsa-miR-4316,17,75393110,75393126,-
MIMAT0019868,hsa-miR-4739,17,77681025,77681049,-
MIMAT0018925,hsa-miR-1268b,17,78072630,78072649,+
MIMAT0019852,hsa-miR-4730,17,78393227,78393249,+
MIMAT0003335,hsa-miR-657,17,79099091,79099113,-
MIMAT0015066,hsa-miR-3065-5p,17,79099686,79099708,+
MIMAT0015378,hsa-miR-3065-3p,17,79099726,79099748,+
MIMAT0004701,hsa-miR-338-5p,17,79099723,79099744,-
MIMAT0000763,hsa-miR-338-3p,17,79099687,79099708,-
MIMAT0005902,hsa-miR-1250-5p,17,79107065,79107085,-
MIMAT0026740,hsa-miR-1250-3p,17,79107028,79107046,-
MIMAT0019869,hsa-miR-4740-5p,17,79374553,79374574,-
MIMAT0019870,hsa-miR-4740-3p,17,79374516,79374537,-
MIMAT0015067,hsa-miR-3186-5p,17,79418178,79418199,-
MIMAT0015068,hsa-miR-3186-3p,17,79418142,79418162,-
MIMAT0027472,hsa-miR-6786-5p,17,79660839,79660859,+
MIMAT0027473,hsa-miR-6786-3p,17,79660874,79660896,+
MIMAT0027474,hsa-miR-6787-5p,17,80194549,80194570,+
MIMAT0027475,hsa-miR-6787-3p,17,80194583,80194604,+
MIMAT0019064,hsa-miR-4525,17,80626157,80626177,-
MIMAT0031005,hsa-miR-8078,18,112266,112288,-
MIMAT0025849,hsa-miR-6718-5p,18,3885363,3885383,+
MIMAT0019361,hsa-miR-3976,18,5840701,5840724,+
MIMAT0016872,hsa-miR-4317,18,6374398,6374414,-
MIMAT0027476,hsa-miR-6788-5p,18,10759622,10759642,-
MIMAT0027477,hsa-miR-6788-3p,18,10759582,10759603,-
MIMAT0028216,hsa-miR-7153-5p,18,11654918,11654940,-
MIMAT0028217,hsa-miR-7153-3p,18,11654884,11654901,-
MIMAT0021121,hsa-miR-5190,18,13459992,13460012,+
MIMAT0019065,hsa-miR-4526,18,13611166,13611187,+
MIMAT0015030,hsa-miR-3156-5p,18,14830173,14830194,+
MIMAT0019209,hsa-miR-3156-3p,18,14830214,14830234,+
MIMAT0005793,hsa-miR-320c,18,19263520,19263539,+
MIMAT0000427,hsa-miR-133a-3p,18,19405673,19405694,-
MIMAT0026478,hsa-miR-133a-5p,18,19405710,19405731,-
MIMAT0000416,hsa-miR-1-3p,18,19408976,19408997,-
MIMAT0019871,hsa-miR-4741,18,20513370,20513392,+
MIMAT0005793,hsa-miR-320c,18,21901680,21901699,+
MIMAT0030984,hsa-miR-8057,18,24171469,24171489,-
MIMAT0005932,hsa-miR-302f,18,27878902,27878918,+
MIMAT0019360,hsa-miR-3975,18,33171746,33171767,+
MIMAT0004561,hsa-miR-187-5p,18,33484834,33484855,-
MIMAT0000262,hsa-miR-187-3p,18,33484798,33484819,-
MIMAT0018206,hsa-miR-3929,18,33514051,33514073,-
MIMAT0016869,hsa-miR-4318,18,35237152,35237168,+
MIMAT0004974,hsa-miR-924,18,37202117,37202136,-
MIMAT0022281,hsa-miR-5583-5p,18,37256720,37256741,-
MIMAT0022282,hsa-miR-5583-3p,18,37256683,37256704,-
MIMAT0022281,hsa-miR-5583-5p,18,37256685,37256706,+
MIMAT0022282,hsa-miR-5583-3p,18,37256722,37256743,+
MIMAT0016870,hsa-miR-4319,18,42550105,42550121,-
MIMAT0019066,hsa-miR-4527,18,44906874,44906895,+
MIMAT0019874,hsa-miR-4743-5p,18,46196973,46196995,+
MIMAT0022978,hsa-miR-4743-3p,18,46197019,46197039,+
MIMAT0019875,hsa-miR-4744,18,46576107,46576129,-
MIMAT0007401,hsa-miR-1539,18,47013772,47013792,+
MIMAT0016871,hsa-miR-4320,18,47652879,47652896,-
MIMAT0019067,hsa-miR-4528,18,50763526,50763547,+
MIMAT0019236,hsa-miR-4529-5p,18,53146457,53146478,+
MIMAT0019068,hsa-miR-4529-3p,18,53146501,53146521,+
MIMAT0000421,hsa-miR-122-5p,18,56118320,56118341,+
MIMAT0004590,hsa-miR-122-3p,18,56118356,56118377,+
MIMAT0019876,hsa-miR-122b-5p,18,56118353,56118375,-
MIMAT0019877,hsa-miR-122b-3p,18,56118319,56118340,-
MIMAT0021045,hsa-miR-5011-5p,18,64748844,64748864,+
MIMAT0021046,hsa-miR-5011-3p,18,64748882,64748903,+
MIMAT0022303,hsa-miR-548av-5p,18,70520600,70520617,-
MIMAT0022304,hsa-miR-548av-3p,18,70520556,70520575,-
MIMAT0005890,hsa-miR-1302,19,72045,72065,+
